from,to,title,from_date,to_date
Daily Pegasus,The Orb,THE DEMONSTRATION ATTRACTS THOUSANDS IN SPITE OF RAIN,2012/11/11,2012/11/12
News Online Today,The World,EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE,2000/08/15,15 August 2000
News Online Today,The World,DRILLING TECHNIQUE BANNED IN TETHYS,1995/03/30,30 March 1995
News Online Today,Who What News,EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE,2000/08/15,2000/08/15
News Online Today,Who What News,DRILLING TECHNIQUE BANNED IN TETHYS,1995/03/30,1995/03/30
The World,News Online Today,GASTECH SHIFTS FOCUS TO KRONOS,7 July 1996,1996/07/08
The World,News Online Today,WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT,13 November 1998,1998/11/14
The World,Who What News,WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT,13 November 1998,1998/11/14
The World,Who What News,GASTECH REPORTS RECORD EARNINGS,18 February 1999,1999/02/19
The World,The Light of Truth,GASTECH ADOPTS NEW LOGO,15 May 2009,2009/05/17
International Times,World Source,Centrum's central role in the Tethan Gas Industry,2 October 1982,1982/10/02
International Times,World Source,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,3 May 1984,1984/05/03
International Times,News Online Today,Centrum's central role in the Tethan Gas Industry,2 October 1982,1982/10/03
International Times,News Online Today,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,3 May 1984,1984/05/04
News Online Today,World Source,Multi-Country Task Force Formed,2013/10/22,2013/10/22
News Online Today,World Source,GASTech Employees Kidnapped in Kronos,2014/01/21,2014/01/21
News Online Today,International Times,GASTech Employees Kidnapped in Kronos,2014/01/21,21 January 2014  1405
International Times,Everyday News,Profile:  Elian Karel,22 June 2009,2009/06/23
International Times,Everyday News,GAStech,22 February 2013,2013/02/24
International Times,The Continent,Profile:  Elian Karel,22 June 2009,2009/06/23
International Times,The Continent,GAStech,22 February 2013,2013/02/24
International Times,World Journal,Profile:  Elian Karel,22 June 2009,2009/06/23
International Times,World Journal,GAStech,22 February 2013,2013/02/24
The Explainer,Athena Speaks,THE THREATS PUBLISHED BY POK,2012/03/09,2012/03/10
News Online Today,The Abila Post,WHO ARE THE PROTESTERS,2012/08/22,22 August 2012
News Online Today,The Abila Post,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,1998/11/15,15 November 1998
News Online Today,Central Bulletin,WHO ARE THE PROTESTERS,2012/08/22,2012/08/23
News Online Today,Central Bulletin,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,1998/11/15,1998/11/16
News Online Today,Athena Speaks,WHO ARE THE PROTESTERS,2012/08/22,2012/08/24
Central Bulletin,The Abila Post,POSSIBLE CONTAMINATION IN ELODIS,1997/04/23,23 April 1997
Central Bulletin,The Abila Post,WRAP UP OF EVENTS AT GASTECH,2014/01/20,20 January 2014
Central Bulletin,Athena Speaks,POSSIBLE CONTAMINATION IN ELODIS,1997/04/23,1997/04/24
Central Bulletin,News Online Today,POSSIBLE CONTAMINATION IN ELODIS,1997/04/23,1997/04/24
Central Bulletin,News Online Today,WRAP UP OF EVENTS AT GASTECH,2014/01/20,2014/01/20
Central Bulletin,The Explainer,POSSIBLE CONTAMINATION IN ELODIS,1997/04/23,1997/04/25
Central Bulletin,The Explainer,ANNIVERSARY OF PROTESTS,2010/06/14,2010/06/14
All News Today,Homeland Illumination,POK REMEMBERS MARTYRED LEADER,2012/06/20,20 June 2012
All News Today,Homeland Illumination,A CELEBRATION OF UNFETTERED KLEPTOCRACY,2014/01/19,19 January 2014
All News Today,News Online Today,POK REMEMBERS MARTYRED LEADER,2012/06/20,2012/06/20
All News Today,News Online Today,A CELEBRATION OF UNFETTERED KLEPTOCRACY,2014/01/19,2014/01/19
All News Today,Daily Pegasus,POK REMEMBERS MARTYRED LEADER,2012/06/20,2012/06/22
Homeland Illumination,News Online Today,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER",19 June 2010,2010/06/19
Homeland Illumination,News Online Today,POK MEMBERS ARRESTED,31 August 2001,2001/09/01
Homeland Illumination,Daily Pegasus,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER",19 June 2010,2010/06/21
Homeland Illumination,All News Today,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,20 June 2011,2011/06/21
Homeland Illumination,All News Today,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,14 November 1998,1998/11/15
Kronos Star,News Online Today,Government Strikes Deal with GAStech International,12 March 1993,1993/03/13
Kronos Star,News Online Today,POK Protesters Vandalize Siopa District,20 June 2011,2011/06/21
Kronos Star,International News,"Minister Nespola Champions Added Taxes on Oil, Gas Development",3 July 1999,1999/07/04
Kronos Star,International News,Activists Disrupt Traffic Near Tiskele Bend Fields,30 August 2001,2001/08/31
International News,Kronos Star,POK Kidnaps GAStech Employees,2014/01/20,20 January 2014
International News,Kronos Star,GAStech and Kronos Celebrate Partnership,2014/01/19,19 January 2014
International News,News Online Today,POK Kidnaps GAStech Employees,2014/01/20,2014/01/20
International News,News Online Today,GAStech and Kronos Celebrate Partnership,2014/01/19,2014/01/19
Kronos Star,The Truth,"POK Labeled a ""Public Threat""",27 July 2011,2011/07/28
The Abila Post,Central Bulletin,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,24 September 2005,2005/09/25
The Abila Post,Central Bulletin,GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS,20 June 2010,2010/06/21
The Abila Post,News Online Today,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,24 September 2005,2005/09/25
The Abila Post,News Online Today,GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS,20 June 2010,2010/06/21
The Abila Post,The Explainer,TRAFFIC ACCIDENT NEAR ELODIS,10 April 2007,2007/04/11
Central Bulletin,News Desk,ANNIVERSARY OF PROTESTS,2010/06/14,2010/06/15
Everyday News,World Journal,2014/03/26,21 October 2013,"October 21, 2013"
The Light of Truth,The General Post,SANJORGE JR CONDEMNS POK LIKE TERRORISTS,2009/02/21,2009/02/22
